primary_type,subtype,lat,lon,name,amenity,addr:housenumber,school,addr:city,addr:street,addr:postcode,addr:country,name:zh
education,school,1.2891677,103.8470814,Music Lifestyle,music_school,,,,,,,
education,school,1.2988328,103.7877822,Future Ready Academy,school,,,,,,,
education,school,1.3252259,103.9191042,LTA Rail Academy,school,,,,,,,
education,school,1.3916874,103.8949888,Sonare Music School,music_school,,,,,,,
education,school,1.3476733,103.717794,,,,,,,,,
education,school,1.2470486,103.8423226,Quayside Isle Preparatory School,school,,,,,,,
education,school,1.2466333,103.8421784,Invictus International School,school,,,,,,,
education,school,1.2475148,103.842284,The Music Suite,music_school,,,,,,,
education,school,1.4681791,103.7800421,,,,,,,,,
education,school,1.4677117,103.7795006,,,,,,,,,
education,school,1.3404633,103.7739275,D* Capo Music Academy,music_school,64,,,Jalan Jurong Kechil,,,
education,school,1.3097274,103.8374915,MOE Language Centre (Newton),language_school,136,,Singapore,Cairnhill Road,229722,,
education,school,1.3530131,103.8338711,Ensemble Music,music_school,,,,,,,
education,school,1.3445941,103.7267865,,,,,,,,,
education,school,1.3203737,103.9127015,Daehan Korean Language Center,language_school,,,,,,,
education,school,1.333487,103.9316165,,,,,,,,,
education,school,1.3337951,103.9315541,,,,,,,,,
education,school,1.2966043,103.7936084,Gate A,,,,,,,,
education,school,1.2963281,103.792939,Gate D,,,,,,,,
education,school,1.2983169,103.793158,,,,,,,,,
education,school,1.2983254,103.7929814,,,,,,,,,
education,school,1.2980022,103.7918918,Gate C,,,,,,,,
education,school,1.340225,103.7045236,Yamaha Music School,music_school,,,,,,,
education,school,1.3855285,103.9018267,Beijing Language School,language_school,,,,,,,北京语文学校
education,school,1.3854236,103.901937,Christofori Music School,music_school,,,,,,,歌德音乐学校
education,school,1.2862969,103.8281161,Star River Language School,language_school,,,,,,,星河语文学校
education,school,1.2864237,103.8266078,HiArt,school,,,,,,,
education,school,1.2862383,103.8279807,Confucius Mandarin Institute,school,,,,,,,孔子书院
education,school,1.2863194,103.8279814,Stalford Learning Centre,school,,,,,,,
education,school,1.2862248,103.828089,Kent Ridge Education,school,,,,,,,
education,school,1.2860824,103.8292773,HCL Education Centre,language_school,,,,,,,
education,school,1.286091,103.8290983,AGrader Learning Centre,school,,,,,,,
education,school,1.3944545,103.9129587,Beijing Language School,language_school,,,,,,,北京语文学校
education,school,1.3943826,103.9128077,Cristofori Music School,music_school,,,,,,,歌德乐学校
