poi_type,lat,lon,addr:street,addr:housenumber,addr:postcode,addr:country
education_school,39.9545083,116.3532225,,,,
education_school,39.8534728,116.5194834,化工路,51号,,
education_school,39.9315099,116.121695,,,,
education_school,39.9917678,116.4170315,,,,
education_school,39.8974495,116.3603804,,,,
education_school,39.9434807,116.44774,Sanlitun Road,,100027,
education_school,40.1196344,116.2162836,,,,
education_school,39.7593794,116.6840103,,,,
education_school,39.9339147,116.1588611,,,,
education_school,40.0789191,116.3210684,,,,
education_school,39.9325653,116.1785406,,,,
education_school,39.9515794,116.4677248,,,,
education_school,39.9693546,116.224718,,,,
education_school,40.1125689,116.6635242,,,,
education_school,39.8314672,116.1969825,,,,
education_school,40.1108621,116.6538382,,,,
education_school,39.8426645,116.3114917,,,,
education_school,39.8640111,116.4096243,,,,
education_school,39.9015548,116.6598411,西顺城街,32,,
education_school,39.8994201,116.4897388,百子湾西里,112号,,
education_school,39.9467492,116.3803221,,,,
education_school,39.8850712,116.4455981,,,,
education_school,39.9173497,116.2801394,,,,
education_school,40.013693,116.5503234,,,,
education_school,39.7554022,116.3138807,,,,
education_school,40.0629402,116.2678217,,,,
education_school,39.921878,116.2733032,,,,
education_school,40.0513331,116.5577738,,,,
education_school,39.8805521,116.3508591,,,,
education_school,39.8727966,116.3984244,,,,
education_school,39.9637754,116.4297362,,,,
education_school,39.9466959,116.3588337,,,,
education_school,40.0435529,116.2569406,,,,
education_school,39.8978543,116.3000231,,,,
education_school,39.8504196,116.7132588,,,,
education_school,39.7385503,116.3183385,,,,
education_school,39.973815,116.4782022,,,,
education_school,40.1176496,116.6465682,,,,
education_school,39.8146529,116.3979576,,,,
education_school,39.8821493,116.6926993,,,,
education_school,39.9288493,116.1825102,,,,
education_school,39.9758568,116.7643535,,,,
education_school,39.7624239,116.3087747,,,,
education_school,39.7667596,116.1992632,,,,
education_school,39.8385598,116.6303408,,,,
education_school,39.8394719,116.3016486,,,,
education_school,39.775199,116.3714045,,,,
education_school,39.8220856,116.1993536,,,,
education_school,40.0320275,116.3510008,,,,
education_school,40.0276207,116.4237433,,,,
education_school,39.8435357,116.4119124,,,,
education_school,39.8142674,116.5787884,,,,
education_school,39.8968516,116.4070237,东兴隆街,,,
education_school,39.8029665,116.3749863,,,,
education_school,39.8182749,116.4299632,,,,
education_school,39.7521948,116.2856115,,,,
education_school,39.7596423,116.4937143,,,,
education_school,39.9714445,116.3449754,,,,
education_school,39.897074,116.3783643,,,,
education_school,39.9780812,116.4143139,惠新里,甲243号,100029,
education_school,39.935715,116.4118516,,,,
education_school,39.9843206,116.3573761,,,,
education_school,40.1053805,116.6824048,,,,
education_school,39.954216,116.2281174,,,,
education_school,39.927683,116.4670573,,,,
education_school,40.0094594,116.3140309,,,,
education_school,39.8428528,116.3042048,,,,
education_school,39.8921095,116.1982244,,,,
education_school,40.0993352,116.2117178,,,,
education_school,39.9183823,116.4937001,,,,
education_school,40.1683114,116.2604868,,,,
education_school,40.0358982,116.1996148,,,,
education_school,39.856971,116.4972397,,,,
education_school,39.7520731,116.3329838,,,,
education_school,40.0457877,116.1815148,,,,
